file_id,fw-og,fw-i,fw-det,fw-den,fw-at,fw-jeg,fw-som,fw-en,fw-er,fw-til,fw-med,fw-de,fw-paa,fw-han,fw-af,fw-saa,fw-der,fw-for,fw-var,fw-du,fw-men,fw-ikke,fw-et,fw-mig,fw-sig,fw-om,fw-har,fw-hun,fw-da,fw-min,fw-ved,fw-fra,fw-nu,fw-vi,fw-hans,fw-sin,fw-hvor,fw-dig,fw-ham,fw-skal,fw-vil,fw-hvad,fw-din,fw-havde,fw-naar,fw-kan,fw-dog,fw-dem,fw-man,fw-over,fw-her,fw-alle,fw-kun,fw-os,fw-selv,fw-blev,fw-ud,fw-mit,fw-gud,fw-end,fw-op,fw-sagde,fw-ja,fw-ei,fw-kom,fw-mod,fw-alt,fw-o,fw-være,fw-kunde,fw-vor,fw-sit,fw-vel,fw-oc,fw-ingen,fw-jo,fw-eller,fw-vilde,fw-maa,fw-denne,fw-hand,fw-efter,fw-thi,fw-ind,fw-deres,fw-dit,fw-gik,fw-hendes,fw-hver,fw-under,fw-hende,fw-aldrig,fw-ned,fw-ej,fw-ey,fw-gamle,fw-have,fw-skulde,fw-lille,fw-hvis
stuckenberg02_workid91696,5,3,0,2,0,5,2,2,1,2,3,3,2,2,1,2,2,0,0,10,0,1,3,2,0,2,0,0,0,3,0,5,0,2,1,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0
claussen04val_workid61267,4,3,0,2,0,2,3,3,1,0,1,0,0,3,2,2,2,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
ewald02dkval_workid65375,35,18,10,14,9,8,23,1,6,20,6,2,7,8,7,5,1,10,2,45,1,0,3,10,2,6,8,0,10,25,9,6,1,0,4,2,4,20,3,13,10,13,31,0,1,8,3,6,0,0,3,0,7,0,4,2,1,12,3,4,0,1,0,12,3,1,2,3,0,0,0,1,2,0,0,0,3,0,0,2,0,0,0,0,1,12,0,0,0,0,0,3,0,0,1,0,0,0,0,3
stuckenberg02_workid102567,4,6,0,1,0,0,1,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0
richardt01_workid92815,7,12,1,3,0,0,1,0,0,4,0,0,2,0,1,0,8,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
aakjaer01val_workid70268,43,18,7,6,3,3,7,14,1,9,15,6,10,29,5,17,15,5,8,2,6,3,7,1,5,2,0,9,5,0,5,4,6,0,10,8,5,1,5,0,0,0,3,2,1,0,2,0,5,2,1,1,1,0,0,5,0,0,0,1,1,0,0,0,1,3,1,0,0,2,0,2,0,0,2,0,1,0,1,0,0,3,0,2,0,0,3,0,1,0,1,0,5,3,0,0,0,3,0,1
wesselhhl_workid81092,7,5,2,0,4,0,5,3,4,1,0,2,1,0,4,0,2,1,0,6,0,0,1,0,2,0,3,1,0,2,2,0,0,0,0,2,7,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,6,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
claussen08val_workid62769,0,2,2,1,3,0,0,1,0,2,0,1,3,0,0,1,0,3,3,0,4,1,2,0,2,0,0,12,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
grundtvig11val_workid73354,8,4,2,2,2,0,4,2,2,5,5,0,4,5,3,3,1,2,2,1,2,0,2,0,0,2,1,0,1,0,0,3,1,3,0,0,0,1,1,1,2,3,0,0,1,0,1,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kingo09val_workid86892,11,7,1,0,5,1,1,1,2,5,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,5,0,0,3,2,0,1,2,0,0,0,2,0,0,0,0,1,0,0,0,3,0,0,0,0,3,1,0,0,1,0,0,0,0,2,0,0,2,0,1,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
aakjaer02val_workid82066,8,5,2,0,0,3,1,1,1,0,0,0,0,0,1,1,0,2,0,1,0,0,0,1,0,3,0,0,2,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richardt03_workid87942,11,9,3,1,0,8,5,7,4,3,1,1,1,0,6,2,2,4,2,1,2,1,3,10,2,2,2,0,0,5,1,2,1,0,1,1,0,0,0,3,2,1,1,0,0,1,1,0,0,0,0,0,3,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0
hostrup01_workid139237,3,3,1,0,0,0,0,1,1,1,0,0,2,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hostrup01_workid140173,15,11,11,10,9,3,4,2,5,4,6,2,3,4,0,4,1,2,3,3,3,2,0,1,0,6,2,0,1,2,4,1,3,7,0,3,2,0,0,1,5,4,0,2,2,0,0,1,1,0,3,0,3,1,2,0,0,1,0,0,3,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,2,0,3,1,0,1,1,0,0,1,2,0,0,1,0,0,1,2,0,0,0,0,0,0
richardt01_workid75933,16,19,9,5,4,1,12,9,7,6,9,1,4,8,7,6,0,3,6,4,3,2,6,1,0,9,3,0,2,0,2,2,2,12,2,5,2,1,2,2,2,1,1,0,1,2,2,0,0,0,1,0,3,3,5,0,0,0,2,0,2,0,1,0,1,0,1,1,2,0,1,0,0,0,0,2,1,0,0,1,0,0,4,0,0,3,0,0,1,0,0,0,0,3,0,1,0,2,0,1
brorson01_workid81636,29,11,7,9,22,16,12,3,5,3,2,1,2,0,5,4,4,11,3,10,1,0,5,5,1,1,6,0,1,5,1,1,1,0,1,1,6,8,1,3,5,3,7,0,2,0,2,2,3,1,1,1,2,2,0,0,1,2,0,0,1,0,0,0,1,1,0,2,5,1,3,1,2,0,1,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,2,2,0,1,0,0,0,0,0
blich05_workid77560,102,67,108,61,70,32,24,59,94,43,37,106,49,35,39,40,22,34,12,5,34,60,19,9,29,24,27,18,12,5,24,10,19,29,9,8,10,3,13,16,16,24,0,7,5,25,9,38,10,4,17,9,2,5,6,5,9,0,1,17,5,0,12,0,1,2,0,0,12,6,1,2,11,0,9,8,9,10,10,11,0,9,6,4,12,0,2,3,3,9,6,8,0,0,0,1,15,6,3,1
claussen07val_workid64347,6,3,2,0,0,6,2,2,0,0,1,2,1,0,3,1,1,0,1,0,2,1,1,1,0,1,2,6,0,0,1,0,1,0,5,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
munp2_workid61158,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
oehl01val_workid67450,2,9,1,3,4,1,4,3,0,6,5,1,2,0,2,1,0,1,0,2,1,0,1,15,1,0,0,0,3,10,3,3,0,0,0,0,3,1,1,0,1,0,7,0,2,0,0,0,0,0,0,0,0,2,0,1,0,4,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0
kingo04val_workid59392,4,2,5,1,4,0,6,1,12,2,0,0,1,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,2,0,0,0,3,4,6,0,0,4,6,0,1,1,1,0,0,0,0,0,0,1,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
