file_id	author	title	volume	birth	death
stuckenberg02_workid55192	 Viggo Stuckenberg	Bækken	SAMLEDE VÆRKER	1863	1905
aakjaer02val_workid59822	 Jeppe Aakjær	Ved engsøen.	SAMLEDE VÆRKER II	1866	1930
bording01val_workid102213	 Anders Bording	Exeqvias pelagus divisit et ignis et æther	Digte	1619	1677
claussen06val_workid64391	 Sophus Claussen	Erindring	Lyrik IV	1865	1931
kingo04val_workid96300	 Thomas Kingo	Længe haver satan spundet	Samlede Skrifter 4	1634	1703
boedtcher01_workid88399	 Ludvig Bødtcher	Ved en confirmation	SAMLEDE DIGTE	1793	1874
grundtvig11val_workid102693	 N.F.S. Grundtvig	Blomstre som en rosen-gaard	SAMLET UDGAVE	1783	1872
baggesen02val_workid77626	 Jens Baggesen	Det tilgivelige tyverie	Riimbreve og Epistler	1764	1826
grundtvig11val_workid159039	 N.F.S. Grundtvig	Kom, gud-faders aand fuldgod	SAMLET UDGAVE	1783	1872
munp1_workid80722	 Gustaf Munch-Petersen	Glimt - varslende - flygtet	samlede skrifter I	1912	1938
larsenthfiredigt_workid64979	 Thøger Larsen	Stormfuld vinternat	Fire digtsamlinger 1904-1912	1875	1928
staffeldt01val_workid87312	 Schack von Staffeldt	Til phantasien [forlad ei, hulde phantasie]	Samlede digte	1769	1826
bording01val_workid135692	 Anders Bording	Jeg takker gud at jeg er ey	Digte	1619	1677
kingo09val_workid86155	 Thomas Kingo	Hierte fader, godheds rood (dk)	Digtning i udvalg	1634	1703
bang06val_workid56302	 Herman Bang	Tomhed	Værker i Mindeudgave 6	1857	1912
ewald02dkval_workid71843	 Johannes Ewald	Fragment (6) (dk)	Udvalgte digte	1743	1781
kingo04val_workid77830	 Thomas Kingo	Mit barn frygt dend sande gud	Samlede Skrifter 4	1634	1703
aare04val_workid58264	 Emil Aarestrup	Mit brev jeg sender	Samlede Skrifter IV	1800	1856
sthen01val_workid67177	 Hans Christensen Sthen	En anden kort regel	Skrifter I En liden Vandrebog	1544	1610
brandesed_04_workid54088	 Edvard Brandes	En politiker	EN POLITIKER FORTÆLLING	1847	1931
hertz10_lev_workid72492	 Henrik Hertz	Til fru heiberg	Blandede Digte	1798	1870
aare01val_workid77795	 Emil Aarestrup	Der var en tid, da venskab var mit alt	Samlede Skrifter I	1800	1856
richardt03_workid72680	 Christian Richardt	Ossians digte [uddrag]	SAMLEDE DIGTE. TREDJE DEEL.	1831	1892
holb11val_workid68892	 Ludvig Holberg	Epistola 502	"Værker i tolv bind, XI<lb xml:id=""idm140209967157744""/> EPISTLER"	1684	1754
claussen09val_workid72577	 Sophus Claussen	Eleonora duse	Lyrik VII	1865	1931
michs_01_workid59127	 Sophus Michaëlis	Nøkkeroser	DIGTE	1865	1932
kaalund01_workid78077	 H. V. Kaalund	Bjørnen.	SAMLEDE DIGTE	1818	1885
munp2_workid68888	 Gustaf Munch-Petersen	Til kongl: majestets tredie feldtog 1678	samlede skrifter II	1912	1938
kaalund01_workid73300	 H. V. Kaalund	Rastløs higen.	SAMLEDE DIGTE	1818	1885
skjold_03_workid57131	 Johan Skjoldborg	Sommerdaw	DYNÆS DIGTE	1861	1936
wesselhhl_workid82805	 Johan Herman Wessel	Hvad nytter den raaben	Samlede Digte	1742	1785
aakjaer01val_workid69452	 Jeppe Aakjær	Mads tammeses maren	SAMLEDE VÆRKER I	1866	1930
aarestrup07val_workid72138	 Emil Aarestrup	Ved stranden (dk)	Udvalgte digte	1800	1856
aakjaer01val_workid72872	 Jeppe Aakjær	Med et bind digte	SAMLEDE VÆRKER I	1866	1930
