Fil;Mediatyp;Författare;Verk;Utgiven;Införd;Sidor;file_id
lb8203263.xml;etext;August Strindberg, Bengt Landgren;Samlade Verk 14. Svenska öden och äventyr II;1990;2009-03-16;sidor;lb8203263_1618.txt
lb1629500.xml;etext;Hjalmar Bergman;Komedier i Bergslagen. Två släkter;1914;2014-01-22;sidor;lb1629500_484.txt
lb1627855.xml;etext;Marie Sophie Schwartz;Tvenne pingstaftnar i Lidners lif;1893;2010-04-07;sidor;lb1627855_476.txt
lb99904104.xml;etext;Carl David af Wirsén;Sång öfver Esaias Tegnér (1882);1883;2013-02-21;sidor;lb99904104_1902.txt
lb2658480.xml;etext;Kerstin Söderholm;Rödgula vägar;1928;2015-11-16;sidor;lb2658480_1292.txt
lb1644054.xml;etext;Cecilia Bååth-Holmberg;I häfdernas hall;1900;2011-03-23;sidor;lb1644054_523.txt
lb1218341.xml;etext;Ludvig Nordström;Lort-Sverige;1938;2015-06-24;sidor;lb1218341_186.txt
lb18431513.xml;faksimil;Jonas Nordin;1766 års tryckfrihetsförordning;2015;2016-01-19;sidor;lb18431513_652.txt
lb262944.xml;etext;August Strindberg, Hans Lindström;Samlade Verk 29. Vivisektioner;1985;2011-01-28;sidor;lb262944_1283.txt
lb262948.xml;etext;August Strindberg, Gunnar Ollén;Samlade Verk 27. Fadren. Fröken Julie. Fordringsägare;1984;2012-04-30;sidor;lb262948_1284.txt
lb8203285.xml;etext;August Strindberg, Conny Svensson;Samlade Verk 56. Nya svenska öden;1998;2010-08-27;sidor;lb8203285_1640.txt
lb99904055.xml;etext;Gustaf III;[Tal vid Akademiens instiftelse];1801;2012-03-16;sidor;lb99904055_1854.txt
lb2389135.xml;etext;Per Ulrik Enbom;Fabriks-flickan;1796;2011-03-24;sidor;lb2389135_753.txt
lb10903604.xml;etext;Ellen Key;Om eganderätt och myndighet för den gifta kvinnan;1888;2008-08-20;sidor;lb10903604_51.txt
lb8904801.xml;etext;August Strindberg, Hans Lindström;Samlade Verk 17. Likt och olikt I-II;2003;2009-04-01;sidor;lb8904801_1729.txt
lb2001435.xml;etext;Hjalmar Söderberg;Gertrud;1906;2012-01-19;sidor;lb2001435_689.txt
lb99904069.xml;etext;Carl Nordin;Inträdestal (13 maj 1786);1801;2012-03-16;sidor;lb99904069_1868.txt
lb27251.xml;faksimil;Albert Nilsson;Svensk romantik. Den platonska strömningen;1916;2015-03-25;sidor;lb27251_1303.txt
lb262950.xml;etext;August Strindberg, Gunnar Ollén;Samlade Verk 32. Folk-komedin Hemsöborna. Himmelrikets nycklar;1987;2012-05-01;sidor;lb262950_1286.txt
lb2006698.xml;faksimil;Samuel Columbus, Bernt Olsson, Barbro Nilsson;Samlade dikter II;1995;2011-08-10;sidor;lb2006698_692.txt
lb114826.xml;faksimil;Thomas Thorild, Stellan Arvidsson;Samlade skrifter X;1996;2011-08-05;sidor;lb114826_119.txt
lb99909066.xml;faksimil;August Strindberg, Gunnar Ollén;Samlade Verk 66. En blå bok II. Textkritisk kommentar;2015;2015-08-22;sidor;lb99909066_1981.txt
lb516730.xml;faksimil;William Shakespeare, Carl August Hagberg;IV. Henrik V. Henrik VI 1–2 [övers. C. A. Hagberg];;2013-05-20;sidor;lb516730_1503.txt
lb2728489.xml;faksimil;Frida Stéenhoff;Teatern och livet. Några tankar om dramatisk konst;1910;2016-05-09;sidor;lb2728489_1304.txt
lb2204430.xml;etext;Vilhelm Fredrik Palmblad;Noveller. Holmen i sjön Dall;1841;2011-06-15;sidor;lb2204430_726.txt
lb1481569.xml;etext;Runar Schildt;Galgmannen;1922;2014-11-02;sidor;lb1481569_303.txt
lb7644419.xml;etext;Fredrika Bremer, Carina Burman, Lars Burman;Livet i gamla världen. Palestina;1995;2009-05-13;sidor;lb7644419_1565.txt
lb891145.xml;faksimil;Frida Stéenhoff;Lejonets unge. Nutidsskildring i fyra akter;1896;2016-05-09;sidor;lb891145_1731.txt
lb262909.xml;etext;August Strindberg, Hans Lindström;Samlade Verk 44. Dödsdansen;1988;2011-03-22;sidor;lb262909_1274.txt
lb262903.xml;etext;August Strindberg, Gunnar Ollén;Samlade Verk 28. Kamraterna. Marodörer;1988;2011-10-20;sidor;lb262903_1271.txt
lb1623113.xml;etext;Viktor Rydberg;Om hjältesagan å Rökstenen;1892;2011-05-24;sidor;lb1623113_443.txt
lb8203259.xml;etext;August Strindberg, Camilla Kretz, Per Stam;Samlade Verk 9. Svenska folket I;2001;2010-06-26;sidor;lb8203259_1614.txt
lb8073160.xml;etext;Gustaf af Geijerstam;Erik Grane;1885;2009-03-13;sidor;lb8073160_1595.txt
lb1312155.xml;faksimil;August Strindberg, Frans Eugène Fahlstedt;Inferno [1897];1897;2016-10-20;sidor;lb1312155_221.txt
lb1625230.xml;etext;Helena Nyblom;Qvinnoöden;1888;2014-09-22;sidor;lb1625230_460.txt
lb99909047.xml;faksimil;August Strindberg, Hans Lindström;Samlade Verk 47. Karl XII. Engelbrekt. Textkritisk kommentar;2008;2015-03-25;sidor;lb99909047_1964.txt
lb114789.xml;faksimil;Erik Sjöberg, Algot Werin;Samlade skrifter I;1926;2011-08-02;sidor;lb114789_102.txt
lb1714919.xml;etext;Herman Sätherberg;Jägarens hvila;1838;2008-12-30;sidor;lb1714919_598.txt
lb1859574.xml;etext;Wendela Hebbe;Arabella;1841;2007-09-17;sidor;lb1859574_658.txt
lb711142.xml;faksimil;Gustaf Ljunggren;Smärre skrifter II;1879;2015-02-19;sidor;lb711142_1548.txt
lb99904062.xml;etext;Johan Henrik Kellgren;Svar på C.G. Nordins inträdestal;1801;2012-03-15;sidor;lb99904062_1861.txt
lb99909037.xml;faksimil;August Strindberg, Ann-Charlotte Gavel Adams;Samlade Verk 37. Inferno. Textkritisk kommentar;2015;2015-08-23;sidor;lb99909037_1954.txt
lb99904048.xml;etext;Gustaf Mauritz Armfelt;Inträdestal (13 maj 1786);1801;2012-03-16;sidor;lb99904048_1847.txt
lb1202930.xml;etext;Mathilda Malling;Mina dagböcker;1926;2013-01-21;sidor;lb1202930_148.txt
lb99904083.xml;etext;Esaias Tegnér;Svar på Herr Atterboms Inträdes-tal;1843;2012-07-12;sidor;lb99904083_1882.txt
lb1634368.xml;etext;Ola Hansson;Folkens visor 1880–1911;1911;2014-11-26;sidor;lb1634368_492.txt
lb10132201.xml;faksimil;Johan Ludvig Runeberg, Lars Huldén, Barbro Ståhle Sjönell, Pia Forssell, Carola Herberts;Samlade skrifter XX;2005;2011-08-13;sidor;lb10132201_11.txt
lb111278.xml;faksimil;Adolph Törneros, Nils Afzelius;Brev och dagboksanteckningar II;1957;2011-07-19;sidor;lb111278_74.txt
lb2131685.xml;etext;Gustaf Fröding;Grillfängerier. I. Heidenstam;1898;2015-05-21;sidor;lb2131685_712.txt
lb14791090.xml;faksimil;August Strindberg, Camilla Kretz, Per Stam, Hans Söderström;Samlade Verk 72. Register;2013;2014-05-23;sidor;lb14791090_300.txt
lb2435413.xml;etext;Tankebyggarorden;Våra Försök. Vol. I;1753;2010-10-20;sidor;lb2435413_1123.txt
lb1719336.xml;etext;Axel Lundegård;Elsa Finne;1902;2016-03-21;sidor;lb1719336_600.txt
lb1857809.xml;etext;Gustaf Fröding;Guitarr och dragharmonika [2:a uppl.];1893;2017-03-27;sidor;lb1857809_657.txt
lb135576.xml;faksimil;Georg Stiernhielm, Johan Nordström;Samlade skrifter II:2;1924;2011-08-26;sidor;lb135576_253.txt
lb99909057.xml;faksimil;August Strindberg, Rune Helleday;Samlade Verk 57. Svarta fanor. Textkritisk kommentar;2008;2015-03-25;sidor;lb99909057_1973.txt
lb7744.xml;faksimil;Lars Johansson (Lucidor), Fredrik Sandwall;Samlade dikter II;1930;2011-09-12;sidor;lb7744_1583.txt
lb8852808.xml;faksimil;Carl Gustaf af Leopold, Torkel Stålmarck;Samlade skrifter I:2,1;2002;2011-08-29;sidor;lb8852808_1726.txt
lb8221992.xml;etext;Per Gustaf Berg;Svensk mystik;1871;2008-10-11;sidor;lb8221992_1664.txt
lb1598358.xml;etext;Oscar Levertin;Från Rivieran;1883;2011-01-24;sidor;lb1598358_392.txt
lb556361.xml;faksimil;Gustaf Uddgren;En ny bok om Strindberg. Andra boken om Strindberg;1912;2017-06-19;sidor;lb556361_1525.txt
lb11815980.xml;etext;August Strindberg, Per Stam, Elisabeth Bladh;Samlade Verk 35. Naturvetenskapliga skrifter I;2010;2014-03-25;sidor;lb11815980_138.txt
lb8203289.xml;etext;August Strindberg, Hans Lindström;Samlade Verk 31. I havsbandet;1982;2007-09-21;sidor;lb8203289_1644.txt
